LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	,
Multi_Headings	No
X_Columns	No
Time_Pref	Relative
Operator	r.aimaev
Date	2024/12/19
Time	09:00:44,9580636024475097657
***End_of_Header***	
	
Channels	6						
Samples	1255	1255	1255	1255	1255	1255	
Date	2024/12/19	2024/12/19	2024/12/19	2024/12/19	2024/12/19	2024/12/19	
Time	09:00:44,9580636024475097657	09:00:44,9580636024475097657	09:00:44,9580636024475097657	09:00:44,9580636024475097657	09:00:44,9580636024475097657	09:00:44,9580636024475097657	
X_Dimension	Time	Time	Time	Time	Time	Time	
X0	0,0000000000000000E+0	0,0000000000000000E+0	0,0000000000000000E+0	0,0000000000000000E+0	0,0000000000000000E+0	0,0000000000000000E+0	
Delta_X	1,000000	1,000000	1,000000	1,000000	1,000000	1,000000	
***End_of_Header***							
X_Value	Time, s	X1 position, mm	Y1 position, mm	X2 position, mm	Y2 position, mm	Signal, Volt	Comment
	4,781082	4,952500	19,381250	4,956250	19,382500	1,131301E-5
	4,879081	5,046250	19,357500	5,050000	19,357500	1,189469E-5
	4,974600	5,142500	19,332500	5,146250	19,332500	1,172918E-5
	5,073600	5,257500	19,301250	5,262500	19,302500	1,138868E-5
	5,196604	5,353750	19,275000	5,357500	19,275000	1,226356E-5
	5,295606	5,451250	19,247500	5,455000	19,248750	1,152109E-5
	5,391607	5,546250	19,220000	5,550000	19,221250	1,349313E-5
	5,490609	5,666250	19,185000	5,670000	19,187500	1,177174E-5
	5,613611	5,757500	19,157500	5,762500	19,160000	1,436328E-5
	5,711612	5,852500	19,130000	5,856250	19,130000	1,169134E-5
	5,809614	5,948750	19,100000	5,952500	19,101250	1,282633E-5
	5,906619	6,063750	19,063750	6,067500	19,065000	9,676753E-6
	6,031617	6,157500	19,032500	6,162500	19,035000	1,470852E-5
	6,128624	6,252500	19,002500	6,256250	19,003750	1,133194E-5
	6,227623	6,343750	18,972500	6,347500	18,973750	1,207914E-5
	6,330623	6,461250	18,932500	6,465000	18,935000	1,524763E-5
	6,428625	6,556250	18,900000	6,560000	18,901250	1,236288E-5
	6,527626	6,646250	18,868750	6,650000	18,870000	1,010237E-5
	6,672627	6,742500	18,835000	6,746250	18,836250	1,009291E-5
	6,771629	6,853750	18,795000	6,857500	18,796250	1,019223E-5
